Year,life
1964,56.041620569897034
1965,56.40830409322373
1966,56.818851643522265
1967,57.23470489835298
1968,57.579042359437636
1969,57.91810694421585
1970,58.36919830604063
1971,58.78102541214951
1972,59.17622301450397
1973,59.52728744420149
1974,59.8862987234856
1975,60.185161942430746
1976,60.567985381837595
1977,60.95852052807476
1978,61.31879699329202
1979,61.69948811659604
1980,62.06097430112923
1981,62.4692313419045
1982,62.86613365416778
1983,63.199200635686154
1984,63.53945989039157
1985,63.826591868649516
1986,64.21269285870942
1987,64.50591548991736
1988,64.75335617772326
1989,64.9823616136421
1990,65.17697462045837
1991,65.35494445321042
1992,65.52824157315645
1993,65.65023855602179
1994,65.62713009790892
1995,65.9515009367604
1996,66.19187924172775
1997,66.4651068148551
1998,66.68300059024433
1999,66.86834227659702
2000,67.12791514596599
2001,67.3826369836463
2002,67.6386877265798
2003,67.90932990419014
2004,68.23589142123592
2005,68.52621873452217
2006,68.8659683030309
2007,69.10973423226585
2008,69.41020920164847
2009,69.71123267516728
2010,69.91157288062966
2011,70.23807243944013
2012,70.5171386138614
2013,70.7649257425742
